text,sentype,SnowNLP,positive_NRC,negative_NRC,anger(3),anticipation(1),disgust(2),fear(5),joy(4),sadness(6),surprise(7),trust
"['“还有金波。” \n', '“金波？他的娃娃……” \n', 'B头“轰”地响了一声，知道他回答问题不准确。\n']",other,0.9821891881701353,0,0,0,0,0,0,1,0,0,0
"['C嘿嘿笑了，赶忙对二爸说：\n', '“金波是金俊海的小子。”\n', 'A也笑了，说：\n']",是字句,0.885298508957348,0,0,0,0,0,0,0,0,0,0
"['A也笑了，说：\n', '“噢噢，金俊海在地区运输公司开车……天这么黑了，到家里吃饭去嘛！”\n', '他招呼B说。\n']",other,0.9836960842138994,2,1,0,0,0,1,1,1,0,2
"['C说：\n', '“已经吃过了。我去送送他！” \n', '“那好。常来啊……”A竟然伸出了手要和B握手。 \n']",other,0.4689178980648089,1,0,0,0,0,0,0,0,0,0
"['“已经吃过了。我去送送他！” \n', '“那好。常来啊……”A竟然伸出了手要和B握手。 \n', 'B慌得赶紧把手伸了出去。\n']",陈述句,0.8530911480810658,0,0,0,0,0,0,0,0,0,0
"['走了一段路以后，C突然问他：\n', '“你这个星期六回不回家去？” \n', '“回。”\n']",陈述句,0.08905060582990287,0,0,0,0,0,0,0,0,0,0
"['“你这个星期六回不回家去？” \n', '“回。”\n', '他回答说。\n']",other,0.38398357289527707,0,0,0,0,0,0,0,0,0,0
"['他回答说。\n', '“你回去以后，给你哥说，让他最近抽个空，到我这里来一下……”\n', '她说话的时候，也不看他，头低着，用脚把一颗碎石块踢得老远。\n']",陈述句,0.2998520846095958,1,0,0,0,0,0,0,0,0,0
"['他只是随便说：\n', '“家里一烂包，怕他抽不开身……” \n', '“不管怎样，无论如何叫他最近来一次！一定把这话给他捎到！叫他到城里后，直接到小学来找我！”\n']",other,0.07039988883060333,0,0,0,0,0,0,0,0,0,0
"['“家里一烂包，怕他抽不开身……” \n', '“不管怎样，无论如何叫他最近来一次！一定把这话给他捎到！叫他到城里后，直接到小学来找我！”\n', '她态度坚决地对他说。\n']",疑问词问句,0.520649068869713,1,1,0,0,0,0,0,0,1,0
"['A知道，他哥看来非来不行了，就认真地对B说：\n', '“我一定把你的话捎给他！” \n', '“这就好……”\n']",把字句,0.4910254227746448,1,0,0,0,0,0,0,0,0,0
"['“我一定把你的话捎给他！” \n', '“这就好……”\n', '她亲切地看了他一眼。\n']",陈述句,0.7516726812673724,1,0,0,1,0,0,1,0,1,1
"['她站定，说：\n', '“你快回去……”\n', '说完这话后，便从自己的衣袋里摸出个什么东西，一把塞进他的衣袋，旋即就转过身走了。\n']",陈述句,0.7475467370496551,0,0,0,0,0,0,0,0,0,0
"['走了几步她才又回过头说：\n', '“那点粮票你去换点细粮吧……” \n', 'A还没有反应过来这是怎么一回事，B就已经消失在坡下的拐弯处了。\n']",other,0.11311167192835614,0,0,0,0,0,0,0,0,0,0
"['A蹬车，D坐在车后，用一只手亲热地搂着他的腰，一口好嗓音唱起了信天游：\n', '“提起我的家来家有名，家住在绥德州三十里铺村……”\n', '象银子一般清亮的东拉河，到这里水量已经大点了，此刻在夕阳的辉映下，波光闪闪地流淌着，和公路并行，在沟道里蜿蜒盘绕……\n']",other,0.5304318660630792,0,0,0,0,0,0,0,0,0,0
"['A吃惊地看见妹妹脸蛋上挂着两颗泪珠，赶忙问：\n', '“出什么事了？” \n', '“姐夫……”\n']",疑问词问句,0.49894980390053023,0,0,0,0,0,0,0,0,0,0
"['“出什么事了？” \n', '“姐夫……”\n', 'B刚一开口，就哭得说不下去了。\n']",other,0.6136407343677612,0,0,0,0,0,0,0,0,0,0
"['A扭头对C说：\n', '“你骑车先回去。那点面先搁在你家里，罢了我来取……” \n', 'C是个聪敏小子，他明白A姐夫家大概出了事，他也许不便帮什么忙，就骑着车子走了。\n']",陈述句,0.4230726896760634,0,0,0,0,0,0,0,0,0,0
"['上车子后，他又扭过头说：\n', '“需要我，你言传一声……” \n', 'C走后，为了使妹妹平静一点，A用手在她头上亲切地摸了摸，说：\n']",other,0.39185475321861396,0,0,0,0,0,0,0,0,0,0
"['C走后，为了使妹妹平静一点，A用手在她头上亲切地摸了摸，说：\n', '“别哭了，你快给我说，出什么事了？”\n', 'B揩了一把眼泪说：\n']",疑问词问句,0.7375086081470613,0,0,0,0,0,0,0,0,0,0
"['B揩了一把眼泪说：\n', '“姐夫叫公社拉到工地上劳教去了……” \n', '“我还以为他死啦！在什么地方？”\n']",陈述句,0.13670833001875016,1,0,0,0,0,0,0,0,0,0
"['“姐夫叫公社拉到工地上劳教去了……” \n', '“我还以为他死啦！在什么地方？”\n', 'A问妹妹。\n']",疑问词问句,0.3072590489653457,0,0,0,0,0,0,0,0,0,0
"['A问妹妹。\n', '“就在咱村里。” \n', '“为什么劳教？” \n']",other,0.6666666666666666,0,0,0,0,0,0,0,0,0,0
"['“就在咱村里。” \n', '“为什么劳教？” \n', '“出去贩卖了点老鼠药，人家说他走资本主义道路……”\n']",疑问词问句,0.5,0,0,0,0,0,0,0,0,0,0
"['“为什么劳教？” \n', '“出去贩卖了点老鼠药，人家说他走资本主义道路……”\n', '“姐姐呢？” \n']",other,0.915940478684926,0,0,0,0,0,0,0,0,0,0
"['“出去贩卖了点老鼠药，人家说他走资本主义道路……”\n', '“姐姐呢？” \n', '姐姐抱着CA到咱家去了，让我留在这里照门。\n']",other,0.7551020408163265,0,0,0,0,0,0,0,0,0,0
"['要是劳教，丢人不算，还不给工分，一年下来又不知要出多少粮钱——现在他们家多年的粮钱都堆在一起还不了帐。\n', '“王八蛋！”\n', 'A气愤地骂了一句他姐夫。\n']",other,0.8160815160081122,0,0,0,0,0,0,0,0,0,0
"['A气愤地骂了一句他姐夫。\n', '“就苦了个姐姐……”\n', 'B难受地说。\n']",other,0.8151195899008952,0,1,0,0,0,0,0,1,0,0
"['A对妹妹说：\n', '“走，咱现在回村子去！” \n', 'C说：\n']",other,0.376002796764039,0,0,0,0,0,0,0,0,0,0
"['C说：\n', '“姐姐让我在这里照门哩……” \n', '“你怎敢晚上一个人住在这？再说，这家里有什么金子银子要照哩？那几个破盆烂碗，白给贼娃子都不要！走，咱上去把门一锁，回家去。” \n']",陈述句,0.7711305371650773,0,0,0,0,0,0,0,0,0,0
"['“姐姐让我在这里照门哩……” \n', '“你怎敢晚上一个人住在这？再说，这家里有什么金子银子要照哩？那几个破盆烂碗，白给贼娃子都不要！走，咱上去把门一锁，回家去。” \n', '“行！”\n']",疑问词问句,0.011346226897990253,1,1,1,0,1,1,0,1,1,1
"['“你怎敢晚上一个人住在这？再说，这家里有什么金子银子要照哩？那几个破盆烂碗，白给贼娃子都不要！走，咱上去把门一锁，回家去。” \n', '“行！”\n', 'C也早在这里呆不住了，想回村去看看事情究竟如何凶险。\n']",other,0.5495207667731629,0,1,1,0,0,0,0,0,0,0
"['瞧，这就是A的小舅子和小姨子！\n', '“咱干脆绕着从山背后回家去？”\n', 'B想出个聪明办法，对她二哥说。\n']",陈述句,0.8620331729692507,0,0,0,1,0,0,0,0,0,0
"['下面人群乱纷纷的，红旗招展，喇叭吼叫，黄尘飞扬，一片热闹非凡的景象。\n', '“二哥，看！那不是姐夫？推车子的那个！看，还是爸爸给姐夫往车子上装土哩……” \n', 'A也看见了。\n']",选择问句,0.021649726390465696,1,1,1,2,0,2,0,0,0,0
"['他感到眼前一阵发黑，便悄悄拉了妹妹一把，说：\n', '“咱们回……” \n', '第5章一九七五年，由于国家政治生活的不正常，社会许多方面都处在一种非常动荡和混乱的状态中。\n']",陈述句,0.49749204586808116,0,0,0,0,0,0,0,0,0,0
"['她对A说：\n', '“这衣裳我现在不敢拿回家。你先拿回去，让给家里大人把这事说了再……” \n', '当C给她父亲说她要嫁给罐子村的A时，D立刻气得暴跳如雷。\n']",把字句,0.6610990793264907,1,0,0,0,0,0,0,0,0,0
"['A一想到她的孙子被枪打死了，就在后炕上放开声哭了：\n', '“我那苦命的安安啊！我那没吃没喝的安安啊！我那还没活人的安安啊！叹——哟哟哟哟哟……” \n', '她看见前炕上E母子俩都扭过头对她说话，她虽听不见她们说什么，但她看出是让她不要哭了。\n']",other,0.9999312157971461,1,1,0,0,0,0,0,0,0,0
"['B看了看脸上糊着泪痕的母亲和姐姐，说：\n', '“哭什么哩！事情出了就按出了的来！”\n', 'D什么话也没说，悄悄提了个猪食桶，出去喂猪去了。\n']",疑问词问句,0.738026555198476,0,1,0,0,0,0,0,1,0,0
"['A哭着问B：\n', '“把安安……枪打在……什么地方了？” \n', '“什么？”\n']",疑问词问句,0.9611801957986169,0,1,1,0,0,1,0,0,0,0
"['“把安安……枪打在……什么地方了？” \n', '“什么？”\n', 'B大声问，没听清A说什么。\n']",疑问词问句,0.5262327818078083,0,0,0,0,0,0,0,0,0,0
"['A大声问，没听清D说什么。\n', '“安安的……尸首……拉回来了没？” \n', '“啊呀！我哥好好的嘛！谁给你说……”\n']",other,0.9557883430826183,0,0,0,0,0,0,0,0,0,0
"['“安安的……尸首……拉回来了没？” \n', '“啊呀！我哥好好的嘛！谁给你说……”\n', 'A愁眉苦脸地笑了一下。\n']",疑问词问句,0.5205496830941547,1,0,0,0,0,0,0,0,0,0
"['A愁眉苦脸地笑了一下。\n', '“她们说……枪打了……那么把谁……打死了？”\n', '“谁也没死！都活着哩！”\n']",疑问词问句,0.5445432742117385,0,1,1,0,0,1,0,0,0,0
"['“她们说……枪打了……那么把谁……打死了？”\n', '“谁也没死！都活着哩！”\n', 'A大声说。\n']",疑问词问句,0.16954071168261897,0,0,0,0,0,0,0,0,0,0
"['A大声说。\n', '“那你姐……你姐……哭谁哩？”\n', '“是我姐夫！他……”\n']",疑问词问句,0.8300606470598128,0,1,0,0,0,0,0,1,0,0
"['“那你姐……你姐……哭谁哩？”\n', '“是我姐夫！他……”\n', 'A一下不知怎样给焦急的老祖宗说清楚这事。\n']",是字句,0.6136407343677612,0,0,0,0,0,0,0,0,0,0
"['A一下不知怎样给焦急的老祖宗说清楚这事。\n', '“你姐夫……怎啦？”\n', 'B一下子不哭了。\n']",other,0.6136407343677612,0,0,0,0,0,0,0,0,0,0
"['A仍然不知道怎样给C说清他姐夫的事，就只好随口说：\n', '“他犯了点错误，人家让他劳教！” \n', '“猫……叫？”\n']",陈述句,0.5091184147075798,0,1,0,0,1,1,0,1,0,0
"['“他犯了点错误，人家让他劳教！” \n', '“猫……叫？”\n', 'C不明白这是什么意思。\n']",陈述句,0.7988195307262004,0,0,0,0,0,0,0,0,0,0
"['“你就给C说什么事也没。” \n', '“你和我姐哭，她看见了，能哄了吗？” \n', '这时候，C更急了，指着脚地上吃糖的猫蛋说：\n']",陈述句,0.6786957838907117,0,1,0,0,0,0,0,1,0,1
"['这时候，D更急了，指着脚地上吃糖的C说：\n', '“是……C？她不是好好的吗？” \n', '“不是嘛，是我姐夫！”\n']",反问句,0.384697561906846,0,0,0,0,0,0,0,0,0,0
"['“是……B？她不是好好的吗？” \n', '“不是嘛，是我姐夫！”\n', 'A也急了。\n']",是字句,0.34527875471283087,0,0,0,0,0,0,0,0,0,0
"['老人看来非要打破沙锅问到底不可，她瘦手紧紧揪着A的领口，追问道：\n', '“你姐夫……出什么事了？猫叫……是怎啦？” \n', 'A大声说：\n']",疑问词问句,0.8358019997430336,0,0,0,0,0,0,0,0,0,0
"['A大声说：\n', '“不是猫叫，是劳教！就象学生娃调皮，叫先生训了一顿！”\n', '他急中生智，即兴想了个C可以明白的解释。\n']",是字句,0.7527432750422808,2,0,1,0,0,0,1,0,1,2
"['他急中生智，即兴想了个C可以明白的解释。\n', '“噢……”\n', '老人这才长出了一口气，瘦手把他的领口放开，疲倦地闭住了眼睛。\n']",other,0.9174771239471233,0,0,0,0,0,0,0,0,0,0
"['A给D把被子围好，就从炕上跳下来，对脚地上已经乱得不知该干什么的母亲和姐姐说：\n', '“姐，你先给咱做饭。妈，你把咱的高粱和黑豆装一点，再腾出一床铺盖，我一会给姐夫送到民工大灶那里去。晚上你和姐姐在这窑里住。如果我哥不回来，就叫我爸住在他的小窑里。我和B都到金波家去住。万一我哥回来，就叫他到队上的饲养室凑合一晚上……” \n', 'A冷静地给没了主意的母亲和姐姐安排眼前一些最当紧的事。\n']",把字句,0.044577388564749354,4,1,0,1,0,0,0,0,1,0
"['他拿着药瓶，又上了炕，把昏昏然的老祖母摇醒，将药瓶举到她眼前说：\n', '“B，看我给你买的药。这是治眼睛的；这是止痛片，浑身什么地方疼的时候，你就吃一片……” \n', '老人的红病眼顿时一亮，塌陷了的嘴巴蠕动着，吃力地抬起一只瘦手，在A的头上抚摸了半大，只是哽咽地说：\n']",疑问词问句,0.4132702875680966,2,0,0,1,0,1,0,0,0,0
"['老人的红病眼顿时一亮，塌陷了的嘴巴蠕动着，吃力地抬起一只瘦手，在A的头上抚摸了半大，只是哽咽地说：\n', '“我平平……长大了……” \n', 'A说：\n']",陈述句,0.9405344652587748,0,0,0,0,0,0,0,0,0,0
"['A说：\n', '“你把头抬起来，我现在就给你点一滴眼药。” \n', '当A给B点完眼药后，他看见B的眼角里滑出了两颗泪珠。\n']",把字句,0.02164863521797533,2,0,0,1,0,0,1,0,0,1
"['D站在脚地上，烟锅在烟布袋里不停地挖着，也不看别人，说：\n', '“把家里的粮食准备一点，再腾出一床铺盖来……” \n', '“这些我都让妈妈准备好了。我一会就给姐夫送过去。”\n']",把字句,0.5818402716972889,1,0,0,1,0,0,0,0,0,1
"['“把家里的粮食准备一点，再腾出一床铺盖来……” \n', '“这些我都让妈妈准备好了。我一会就给姐夫送过去。”\n', 'A轻轻说。\n']",陈述句,0.7356899540358434,3,0,0,2,0,0,1,0,1,2
"['C一听就火了，正要开口数落老婆，就听见女儿B在灶火圪崂里说：\n', '“妈，猪我已经喂过了……” \n', '窑里所有人的目光，一齐投向这个他们谁也没有留意的十三岁的孩子。\n']",other,0.8445678084975424,0,1,0,0,1,0,0,0,0,0
"['他对同学他哥说：\n', '“能不能叫我姐夫出来一下？让我把这些东西交待给他。”\n', '“这怎不能？又没犯死罪！”\n']",正反问句,0.7703576420240741,1,0,0,0,0,0,0,0,0,0
"['A把铺盖卷和饭罐放在地上，对姐夫说：\n', '“这铺盖里有些粮食，罢了你交到大灶上……” \n', 'B先顾不得什么，急忙在饭罐上面的碗里抓了一个黑馍，狠狠咬了一口，几乎没嚼就往下吞咽，噎得他脖子一展。\n']",other,0.34466929952136804,0,0,0,0,0,0,0,0,0,0
"['等咽下这口饭后，才问A：\n', '“不知你姐和猫蛋狗蛋……” \n', '“他们都在我们家里。”\n']",other,0.2899271380643663,0,0,0,0,0,0,0,0,0,0
"['“不知你姐和猫蛋狗蛋……” \n', '“他们都在我们家里。”\n', 'A厌恶地看着他。\n']",陈述句,0.7662351426759578,0,0,0,0,0,0,0,0,0,0
"['A厌恶地看着他。\n', '“那就好……回去给你姐说，我什么都好着哩！叫她不要急……”\n', '他扭头看了看已经离远了点的扛枪后生，又悄悄对A说：\n']",疑问词问句,0.4949642500237329,3,1,0,2,0,1,1,1,2,2
"['A对她说：\n', '“你忙你的，我要到金波家去哩。” \n', '他冷淡地对他二妈打了个招呼，就转过身走了。\n']",陈述句,0.8785127454522424,0,0,0,0,0,0,0,0,0,0
"['人常说，老嫂为母，这话可一点也不假……\n', '“噢——哥！噢——哥！” \n', 'A仍然一声接一声地在公路下面喊叫。\n']",other,0.9970379591352684,0,0,0,0,0,0,0,0,0,0
"['A也从身上掏出自己的烟锅，在他哥的烟布袋里挖了一锅，又用他哥的火柴点着，说：\n', '“王满银一脑子的资本主义。劳教两天是小事，再不学习和改正，说不定要进班房。亲戚都要为这小子在政治上受影响……” \n', '玉B还是一声不吭。\n']",是字句,0.5636437285180413,2,2,0,0,0,0,0,1,0,0
"['他心里只是为他的女儿和两个外孙难受。\n', '“今晚上公社要在学校开批判会，孙少安没回来，你家里其他人参加不成，你歪好要去一下，不要叫人家说，你们家抵制批判亲属的资本主义倾向……”\n', 'A对他哥说。\n']",other,0.9143382745982311,6,2,1,2,0,1,2,1,1,5
"['A对他哥说。\n', '“我不去！不劳动不行，不开会还不行！” \n', '“哥，你不敢这样。咱们是贫下中农，毛主席号召的事，咱怎能不积极哩？”\n']",陈述句,0.08384785053438848,1,0,0,1,0,0,1,0,1,1
"['“我不去！不劳动不行，不开会还不行！” \n', '“哥，你不敢这样。咱们是贫下中农，毛主席号召的事，咱怎能不积极哩？”\n', 'A劝他哥说。\n']",反问句,0.04047942719415554,0,0,0,0,0,0,0,0,0,0
"['A劝他哥说。\n', '“反正我不参加！我的气已经受够了！哪怕明天让我也劳教哩！” \n', '玉B说完，气恼地转过身就往回去。\n']",疑问词问句,0.2972480750518237,1,0,0,1,0,0,0,0,0,1
"['A失望地见他哥快上了土坡，就又轻轻喊叫了一声：\n', '“哥，你先等一等……” \n', '玉B以为他还要叫他去参加批判会，站住吼叫说：\n']",other,0.40754700635076413,1,0,0,0,0,0,0,0,0,0
"['玉B以为他还要叫他去参加批判会，站住吼叫说：\n', '“你走你的！不要管我！” \n', 'A走过来说：\n']",陈述句,0.5826296743063932,1,0,0,0,0,0,0,0,0,1
"['A走过来说：\n', '“……给我抓一把烟。”\n', '他说着，就过去在他哥的烟布袋里掏了一把旱烟，装进自己的烟布袋里，随后就心急火燎地走了——他今晚上还有大事！\n']",other,0.6767476659823349,1,2,1,1,0,0,0,0,0,0
"['但双水村谁是阶级敌人，他一时又想不出来。\n', '“哼，叫A去想吧！”\n', 'C在心里说。\n']",other,0.8020330678228421,0,0,0,0,0,0,0,1,0,0
"['对，干脆就批判他常嘟囔的那句话：\n', '“世事要变了……”\n', '。\n']",陈述句,0.962849024436491,0,0,0,0,0,0,0,0,0,0
"['这时候，A已经给B递上一根纸烟，同时问：\n', '“B，你来有什么事哩？” \n', 'B在A的打火机上点着烟，接着就把公社徐主任的意思给他说了一遍。\n']",疑问词问句,0.703512528460595,0,0,0,0,0,0,0,0,0,0
"['然后问：\n', '“A哥，你看这事怎办？”\n', 'A有点嘲讽地看着B，反问：\n']",疑问词问句,0.5149538279998002,0,0,0,1,0,1,0,0,0,0
"['A有点嘲讽地看着B，反问：\n', '“你看咱村里谁是阶级敌人？” \n', '这倒把B给问住了。\n']",疑问词问句,0.9122346196438569,0,1,1,1,1,2,0,0,0,0
"['就说：\n', '“我一时也拿不定主意，所以才来问问你。田福堂哥不在，村里的事就看你拿主意哩！” \n', 'A马上说：\n']",比较句,0.6682232703338606,0,0,0,1,0,1,0,0,0,0
"['A马上说：\n', '“B，你怎能这样说哩？这不是村里的批判会，这是公社会战指挥部的批判会！你是指挥部的领导人，这事当然要你拿主意哩！咱们村的情况你又不是不熟悉？你现在不仅代表咱村，还代表公社哩！公社出面搞的事，我A现在也要听你的哩！” \n', 'B觉得实在没智慧治住这老家伙了，而眼看批判会的时间又快到了，只好吞吞吐吐说：\n']",反问句,0.11772629979944371,5,0,0,3,0,0,1,0,0,3
"['B觉得实在没智慧治住这老家伙了，而眼看批判会的时间又快到了，只好吞吞吐吐说：\n', '“……你看田二怎样？”\n', 'A一下子仰起头笑了，说：\n']",疑问词问句,0.5763341505824242,0,0,0,0,0,0,0,0,0,0
"['A一下子仰起头笑了，说：\n', '“批判田二的什么哩？那人谁不知道是个半脑壳！” \n', '“他不是常说，世事要变了。就批判这句话！”\n']",疑问词问句,0.1877497064255279,1,1,0,0,0,0,0,0,0,0
"['“批判田二的什么哩？那人谁不知道是个半脑壳！” \n', '“他不是常说，世事要变了。就批判这句话！”\n', 'B说。\n']",是字句,0.911909587044923,1,1,1,0,0,0,0,0,0,0
"['B说。\n', '“那话他说了几十年了，完全是神经病憨话，能批出个啥名堂？” \n', 'A抽了两口烟，又改变口气说：\n']",疑问词问句,0.06777545296717324,0,0,0,0,0,0,0,0,0,0
"['A抽了两口烟，又改变口气说：\n', '“不过，你看能批就批吧。我对你的决定没什么意见……” \n', 'A心想，今晚上双水村要是没个人去陪罪，看来B也不好给徐主任交差。\n']",疑问词问句,0.23469351566997076,0,0,0,1,0,1,0,0,0,0
"['既然C让老憨憨B去充数，也就只好让他顶缺去了。\n', '“那就这样！我还要主持批判会，先走了……”\n', 'C喝了一口茶水，从椅子上站起来就走了。\n']",other,0.3080275895297513,2,0,0,0,0,0,0,0,0,0
